,country,country_long,gdp,total_est_generation_gwh,avg_est_generation_gwh,total_plants,renewable_plants,renewable_plants_prop,renewable_est_generation_gwh
0,AFG,Afghanistan,18753456497.8159,1306.9817856252535,186.71168366075048,7,6,0.8571428571428571,1098.7185367095988
1,AGO,Angola,85629598654.1906,9480.0,677.1428571428571,14,5,0.35714285714285715,5040.999999999999
2,ALB,Albania,13258268435.6048,4724.0,590.5,8,7,0.875,4724.0
3,ARE,United Arab Emirates,403365056078.846,108506.0,4018.740740740741,27,3,0.1111111111111111,300.99999999999994
4,ARG,Argentina,643628393281.364,138806.0,575.9585062240664,241,63,0.26141078838174275,42094.00000000001
5,ARM,Armenia,11527458709.0158,7746.0,968.25,8,4,0.5,1992.0
6,AUS,Australia,1330890554614.09,248298.0,592.5966587112172,419,162,0.38663484486873506,37042.00000000001
7,AUT,Austria,414926138132.691,54075.0,525.0,103,100,0.970873786407767,48674.0
8,AZE,Azerbaijan,40866627351.9817,24549.0,1753.5,14,5,0.35714285714285715,1300.0
9,BDI,Burundi,2831362208.34039,200.75959569789683,66.91986523263228,3,3,1.0,200.75959569789683
10,BEL,Belgium,500908767351.53,67323.0,1020.0454545454545,66,33,0.5,9709.0
11,BEN,Benin,12701655836.9467,183.0,91.5,2,0,0.0,
12,BFA,Burkina Faso,14106955615.3442,668.9316415102899,133.78632830205797,5,2,0.4,106.17616014839163
13,BGD,Bangladesh,293732446624.596,55696.0,1012.6545454545454,55,1,0.01818181818181818,588.0
14,BGR,Bulgaria,59170671046.4798,43666.0,2425.8888888888887,18,8,0.4444444444444444,6494.0
15,BHR,Bahrain,37204813829.7872,27253.0,3893.285714285714,7,0,0.0,
16,BIH,Bosnia and Herzegovina,18326373135.6099,16086.0,804.3,20,16,0.8,5935.0
17,BLR,Belarus,54725405751.1559,34042.0,2002.4705882352941,17,0,0.0,
18,BOL,Bolivia,45927439594.7902,8378.999999999998,364.3043478260869,23,14,0.6086956521739131,2250.9999999999995
19,BRA,Brazil,2063514977365.65,590632.0000000001,252.40683760683766,2340,1561,0.667094017094017,431641.0000000002
20,BRN,Brunei Darussalam,12128168045.1245,4461.0,1115.25,4,0,0.0,
21,BTN,Bhutan,2591358009.20276,6768.761859248463,1353.7523718496927,5,5,1.0,6768.761859248463
22,BWA,Botswana,16105155856.7708,2263.0,1131.5,2,0,0.0,
23,CAF,Central African Republic,2072349972.6818,208.31029586065927,104.15514793032963,2,1,0.5,89.43819073472852
24,CAN,Canada,1649269496514.62,655974.4461813935,568.4353953045004,1154,1047,0.9072790294627383,411988.44618139346
25,CHE,Switzerland,706660443624.485,67258.0,405.1686746987952,166,162,0.9759036144578314,39700.99999999999
26,CHL,Chile,276154259981.097,73428.0,290.2292490118577,253,155,0.6126482213438735,30358.0
27,CIV,Cote DIvoire,52512343996.69,7708.0,963.5,8,5,0.625,1913.0
28,CMR,Cameroon,36098547033.1655,6849.999999999999,856.2499999999999,8,3,0.375,5067.999999999999
29,COD,Democratic Republic of the Congo,37537521565.5308,8831.0,588.7333333333333,15,13,0.8666666666666667,8820.0
30,COG,Congo,11834473039.3645,1740.0,217.5,8,4,0.5,951.9999999999999
